,Unnamed: 0,Date,Post
121,121,2012-01-06,77
3215,3215,2012-01-06,71
2487,2487,2012-01-06,74
2123,2123,2012-01-06,78
4671,4671,2012-01-06,58
7401,7401,2012-01-06,57
3579,3579,2012-01-06,73
7947,7947,2012-01-06,61
1759,1759,2012-01-06,80
4853,4853,2012-01-06,73
7037,7037,2012-01-06,80
5945,5945,2012-01-06,83
6855,6855,2012-01-06,78
7219,7219,2012-01-06,64
3943,3943,2012-01-06,70
849,849,2012-01-06,79
3397,3397,2012-01-06,68
6673,6673,2012-01-06,80
303,303,2012-01-06,78
1395,1395,2012-01-06,78
1213,1213,2012-01-06,55
5399,5399,2012-01-06,79
5035,5035,2012-01-06,78
6491,6491,2012-01-06,80
7765,7765,2012-01-06,80
2851,2851,2012-01-06,58
6127,6127,2012-01-06,70
4489,4489,2012-01-06,69
1031,1031,2012-01-06,80
1941,1941,2012-01-06,81
2669,2669,2012-01-06,67
3033,3033,2012-01-06,54
4125,4125,2012-01-06,66
5581,5581,2012-01-06,79
1577,1577,2012-01-06,80
4307,4307,2012-01-06,71
8129,8129,2012-01-06,74
5763,5763,2012-01-06,62
3761,3761,2012-01-06,79
5217,5217,2012-01-06,70
6309,6309,2012-01-06,73
485,485,2012-01-06,81
2305,2305,2012-01-06,61
7583,7583,2012-01-06,80
667,667,2012-01-06,77
4469,4469,2012-01-13,34
3377,3377,2012-01-13,37
2103,2103,2012-01-13,48
6835,6835,2012-01-13,48
4833,4833,2012-01-13,41
3195,3195,2012-01-13,35
5197,5197,2012-01-13,39
1011,1011,2012-01-13,48
2285,2285,2012-01-13,25
1193,1193,2012-01-13,7
283,283,2012-01-13,45
4105,4105,2012-01-13,28
1375,1375,2012-01-13,36
5561,5561,2012-01-13,45
4651,4651,2012-01-13,25
1921,1921,2012-01-13,53
7563,7563,2012-01-13,51
7745,7745,2012-01-13,43
7017,7017,2012-01-13,54
1739,1739,2012-01-13,51
6289,6289,2012-01-13,41
3741,3741,2012-01-13,45
5925,5925,2012-01-13,54
7199,7199,2012-01-13,25
2649,2649,2012-01-13,36
3013,3013,2012-01-13,20
465,465,2012-01-13,51
7927,7927,2012-01-13,25
3559,3559,2012-01-13,37
6107,6107,2012-01-13,33
2467,2467,2012-01-13,41
1557,1557,2012-01-13,42
4287,4287,2012-01-13,36
647,647,2012-01-13,34
7381,7381,2012-01-13,27
6653,6653,2012-01-13,56
8109,8109,2012-01-13,41
6471,6471,2012-01-13,56
2831,2831,2012-01-13,19
5743,5743,2012-01-13,28
5015,5015,2012-01-13,48
3923,3923,2012-01-13,39
829,829,2012-01-13,48
101,101,2012-01-13,48
5379,5379,2012-01-13,45
1740,1740,2012-01-20,54
6836,6836,2012-01-20,46
7746,7746,2012-01-20,52
6654,6654,2012-01-20,58
7564,7564,2012-01-20,54
6290,6290,2012-01-20,30
648,648,2012-01-20,42
4652,4652,2012-01-20,15
7382,7382,2012-01-20,31
7928,7928,2012-01-20,32
5016,5016,2012-01-20,46
5926,5926,2012-01-20,55
1558,1558,2012-01-20,51
830,830,2012-01-20,54
7018,7018,2012-01-20,58
3742,3742,2012-01-20,52
3014,3014,2012-01-20,27
1922,1922,2012-01-20,56
2650,2650,2012-01-20,21
3378,3378,2012-01-20,23
7200,7200,2012-01-20,14
466,466,2012-01-20,56
5380,5380,2012-01-20,52
3560,3560,2012-01-20,27
3924,3924,2012-01-20,29
4106,4106,2012-01-20,15
5198,5198,2012-01-20,29
102,102,2012-01-20,54
1194,1194,2012-01-20,27
2832,2832,2012-01-20,29
3196,3196,2012-01-20,24
1012,1012,2012-01-20,55
284,284,2012-01-20,51
8110,8110,2012-01-20,31
2286,2286,2012-01-20,32
4470,4470,2012-01-20,23
6472,6472,2012-01-20,58
6108,6108,2012-01-20,39
1376,1376,2012-01-20,46
2104,2104,2012-01-20,46
5562,5562,2012-01-20,52
4834,4834,2012-01-20,30
5744,5744,2012-01-20,36
4288,4288,2012-01-20,25
2468,2468,2012-01-20,31
5199,5199,2012-01-27,35
4835,4835,2012-01-27,36
6291,6291,2012-01-27,36
4653,4653,2012-01-27,24
7019,7019,2012-01-27,60
1195,1195,2012-01-27,26
4289,4289,2012-01-27,31
2287,2287,2012-01-27,34
6109,6109,2012-01-27,39
1741,1741,2012-01-27,53
3379,3379,2012-01-27,32
6837,6837,2012-01-27,50
7201,7201,2012-01-27,22
831,831,2012-01-27,54
103,103,2012-01-27,54
2651,2651,2012-01-27,30
4107,4107,2012-01-27,25
3925,3925,2012-01-27,35
2833,2833,2012-01-27,28
3197,3197,2012-01-27,30
285,285,2012-01-27,50
2469,2469,2012-01-27,37
4471,4471,2012-01-27,32
5563,5563,2012-01-27,50
1377,1377,2012-01-27,45
5381,5381,2012-01-27,50
8111,8111,2012-01-27,37
1923,1923,2012-01-27,58
3561,3561,2012-01-27,37
467,467,2012-01-27,58
2105,2105,2012-01-27,50
7747,7747,2012-01-27,52
6655,6655,2012-01-27,62
7929,7929,2012-01-27,34
5017,5017,2012-01-27,50
3015,3015,2012-01-27,29
3743,3743,2012-01-27,50
1559,1559,2012-01-27,49
6473,6473,2012-01-27,62
5745,5745,2012-01-27,36
5927,5927,2012-01-27,56
7383,7383,2012-01-27,33
1013,1013,2012-01-27,53
7565,7565,2012-01-27,53
649,649,2012-01-27,40
